method,accuracy,mean_latency_ms,p95_latency_ms,artifact_rejection_rate,n_artifacts,n_valid_trials,delta_accuracy
no_denoise,0.3194444444444444,2.0106117013875116,2.780652600631583,0.0,0,288,0.0
butterworth,0.3194444444444444,2.8859007049012084,3.8072068504334307,0.0,0,288,0.0
cnn_student,0.3020833333333333,13.398555322838648,18.021101049635032,0.0,0,288,-0.017361111111111105
